ctZ ctZI -2DeltaNLL
-0.417 -0.017 3.24276090274
-0.383 -0.017 1.79279374587
-0.35 -0.017 0.81957814889
-0.317 -0.017 0.240000847029
-0.283 -0.017 0.0
-0.25 -0.017 0.0651954170316
-0.217 -0.017 0.340418978827
-0.183 -0.017 0.800736461766
-0.15 -0.017 1.32388684317
-0.117 -0.017 1.88684758497
-0.083 -0.017 2.4334951879
-0.05 -0.017 2.88669829909
-0.017 -0.017 3.2232414009
0 -0.017 3.33632598398
0.017 -0.017 3.41717485315
0.05 -0.017 3.46619532979
0.083 -0.017 3.36927368375
0.117 -0.017 3.15912443725
0.15 -0.017 2.88587623276
0.183 -0.017 2.58714078809
0.217 -0.017 2.31001466373
0.25 -0.017 2.15079632844
0.283 -0.017 2.14515975071
0.317 -0.017 2.39242903236
0.35 -0.017 2.91861388762
0.383 -0.017 3.82487981976
0.417 -0.017 5.19554551272
0.45 -0.017 6.94413989852
0.483 -0.017 9.16248776042
0.55 -0.017 15.119101526
0.6 -0.017 20.6365849192
-0.6 0 19.02167782
-0.55 0 13.4484974074
-0.483 0 7.39470727043
-0.45 0 5.07426408981
-0.417 0 3.22554112226
-0.383 0 1.78029081388
-0.35 0 0.810589951929
-0.317 0 0.236052536871
-0.283 0 0.00167780998163
-0.25 0 0.0775658055209
-0.217 0 0.354989253217
-0.183 0 0.817994434619
-0.15 0 1.34912133799
-0.117 0 1.91265894636
-0.083 0 2.45946301846
-0.05 0 2.91371553065
-0.017 0 3.25040287198
0 0 3.36976575851
0.017 0 3.4440505181
0.05 0 3.49276042217
0.083 0 3.39774161624
0.117 0 3.19001698075
0.15 0 2.9062763236
0.183 0 2.60794599727
0.217 0 2.3265418082
0.25 0 2.16492127441
0.283 0 2.15157759446
0.317 0 2.39492117614
0.35 0 2.91585924593
0.383 0 3.81529706088
0.417 0 5.17784325499
0.45 0 6.92546170787
0.483 0 9.14015693008
0.55 0 15.0848772498
0.6 0 20.6054871946
-0.6 0.017 19.0466797585
-0.55 0.017 13.4712493713
-0.483 0.017 7.41626720061
-0.45 0.017 5.09342734865
-0.417 0.017 3.24048968335
-0.383 0.017 1.79886206402
-0.35 0.017 0.826483499492
-0.317 0.017 0.248727072729
-0.283 0.017 0.0113006499596
-0.25 0.017 0.0855891590472
-0.217 0.017 0.356995280134
-0.183 0.017 0.812011307338
-0.15 0.017 1.34848508122
-0.117 0.017 1.90438815276
-0.083 0.017 2.45103870099
-0.05 0.017 2.90849611326
-0.017 0.017 3.24301005271
0 0.017 3.36028008908
0.017 0.017 3.43437743327
0.05 0.017 3.48918884434
0.083 0.017 3.39111862401
0.117 0.017 3.18120213994
0.15 0.017 2.90073654405
0.183 0.017 2.60343019362
0.217 0.017 2.32422096352
0.25 0.017 2.16887367703
0.283 0.017 2.15865343204
0.317 0.017 2.4046313432
0.35 0.017 2.92531776126
0.383 0.017 3.83125149878
0.417 0.017 5.19502697885
0.45 0.017 6.94291302445
0.483 0.017 9.15907147084
0.55 0.017 15.1117614754
0.6 0.017 20.6274170491
-0.6 0.05 19.265730398
-0.55 0.05 13.6708266365
-0.483 0.05 7.5921895029
-0.45 0.05 5.25114812632
-0.417 0.05 3.38404317084
-0.383 0.05 1.90906248754
-0.35 0.05 0.913530558115
-0.317 0.05 0.306316266302
-0.283 0.05 0.0395837621763
-0.25 0.05 0.0806484732311
-0.217 0.05 0.334487062413
-0.183 0.05 0.763738401001
-0.15 0.05 1.27504388918
-0.117 0.05 1.81605339982
-0.083 0.05 2.34625761141
-0.05 0.05 2.7842616064
-0.017 0.05 3.11548878415
0 0.05 3.23420382151
0.017 0.05 3.30601423909
0.05 0.05 3.34541493701
0.083 0.05 3.28159062681
0.117 0.05 3.08220743132
0.15 0.05 2.81417311751
0.183 0.05 2.52972435416
0.217 0.05 2.27989021246
0.25 0.05 2.14810329909
0.283 0.05 2.16352515318
0.317 0.05 2.42415851261
0.35 0.05 2.99018408312
0.383 0.05 3.92858321639
0.417 0.05 5.30901329219
0.45 0.05 7.07680483814
0.483 0.05 9.31986303534
0.55 0.05 15.30793209
0.6 0.05 20.8277435114
-0.6 0.083 19.7072627291
-0.55 0.083 14.1027542623
-0.483 0.083 7.95086357812
-0.45 0.083 5.57115030359
-0.417 0.083 3.65294858464
-0.383 0.083 2.13869017363
-0.35 0.083 1.08562873048
-0.317 0.083 0.426946143154
-0.283 0.083 0.0988659646828
-0.25 0.083 0.0790280792862
